time,Pp1,Pp2
73.6,-3617.25,781.984
73.7,-3549.91,766.235
73.8,-3482.51,750.542
73.9,-3415.06,734.903
74,-3347.55,719.318
74.1,-3279.99,703.786
74.2,-3212.38,688.305
74.3,-3144.71,672.875
74.4,-3077,657.494
74.5,-3009.23,642.161
74.6,-2941.42,626.876
74.7,-2873.56,611.636
74.8,-2805.65,596.442
74.9,-2737.7,581.291
75,-2669.71,566.184
75.1,-2601.67,551.118
75.2,-2533.59,536.093
75.3,-2465.47,521.107
75.4,-2397.31,506.161
75.5,-2329.11,491.251
75.6,-2260.87,476.378
75.7,-2192.6,461.541
75.8,-2124.29,446.738
75.9,-2055.94,431.968
76,-1987.57,417.23
76.1,-1919.16,402.523
76.2,-1850.72,387.846
76.3,-1782.25,373.198
76.4,-1713.75,358.578
76.5,-1645.23,343.985
76.6,-1576.67,329.417
76.7,-1508.1,314.874
76.8,-1439.49,300.354
76.9,-1370.87,285.857
77,-1302.22,271.381
77.1,-1233.55,256.926
77.2,-1164.86,242.49
77.3,-1096.15,228.072
77.4,-1027.42,213.671
77.5,-958.672,199.286
77.6,-889.911,184.916
77.7,-821.135,170.559
77.8,-752.345,156.216
77.9,-683.542,141.884
78,-614.727,127.563
78.1,-545.902,113.252
78.2,-477.067,98.9485
78.3,-408.224,84.6528
78.4,-339.373,70.3634
78.5,-270.516,56.0792
78.6,-201.654,41.7992
78.7,-132.788,27.5223
78.79,-70.9282,14.6874
78.79,-70.9282,14.6874
78.8,-58.1061,13.3165
78.9,-5.85454,4.39486
79,-0.0110312,0.534963
79.0238,-2.88E-07,-1.78E-06
79.0238,-1.29E-12,-1.29E-12
79.1,-1.29E-12,-1.29E-12
79.2,-1.29E-12,-1.29E-12
79.3,-1.29E-12,-1.29E-12
79.4,-1.29E-12,-1.29E-12
79.5,-1.29E-12,-1.29E-12
79.6,-1.29E-12,-1.29E-12
79.7,-1.29E-12,-1.29E-12
79.8,-1.29E-12,-1.29E-12
79.9,-1.29E-12,-1.29E-12
80,-1.29E-12,-1.29E-12
80.1,-1.29E-12,-1.29E-12
80.2,-1.29E-12,-1.29E-12
80.3,-1.29E-12,-1.29E-12
80.4,-1.29E-12,-1.29E-12
80.5,-1.29E-12,-1.29E-12
80.6,-1.29E-12,-1.29E-12
80.7,-1.29E-12,-1.29E-12
80.8,-1.29E-12,-1.29E-12
80.9,-1.29E-12,-1.29E-12
81,-1.29E-12,-1.29E-12
81.1,-1.29E-12,-1.29E-12
81.2,-1.29E-12,-1.29E-12
81.3,-1.29E-12,-1.29E-12
81.4,-1.29E-12,-1.29E-12
81.5,-1.29E-12,-1.29E-12
81.6,-1.29E-12,-1.29E-12
81.7,-1.29E-12,-1.29E-12
81.8,-1.29E-12,-1.29E-12
81.9,-1.29E-12,-1.29E-12
82,-1.29E-12,-1.29E-12
82.1,-1.29E-12,-1.29E-12
82.2,-1.29E-12,-1.29E-12
82.3,-1.29E-12,-1.29E-12
82.4,-1.29E-12,-1.29E-12
82.5,-1.29E-12,-1.29E-12
82.6,-1.29E-12,-1.29E-12
82.7,-1.29E-12,-1.29E-12
82.8,-1.29E-12,-1.29E-12
82.9,-1.29E-12,-1.29E-12
83,-1.29E-12,-1.29E-12
83.1,-1.29E-12,-1.29E-12
83.2,-1.29E-12,-1.29E-12
83.3,-1.29E-12,-1.29E-12
83.4,-1.29E-12,-1.29E-12
83.5,-1.29E-12,-1.29E-12
83.6,-1.29E-12,-1.29E-12
83.7,-1.29E-12,-1.29E-12
83.8,-1.29E-12,-1.29E-12
83.9,-1.29E-12,-1.29E-12
84,-1.29E-12,-1.29E-12
84.1,-1.29E-12,-1.29E-12
84.2,-1.29E-12,-1.29E-12
84.3,-1.29E-12,-1.29E-12
84.4,-1.29E-12,-1.29E-12
84.5,-1.29E-12,-1.29E-12
84.6,-1.29E-12,-1.29E-12
84.7,-1.29E-12,-1.29E-12
84.8,-1.29E-12,-1.29E-12
84.9,-1.29E-12,-1.29E-12
85,-1.29E-12,-1.29E-12
85.1,-1.29E-12,-1.29E-12
85.2,-1.29E-12,-1.29E-12
85.3,-1.29E-12,-1.29E-12
85.4,-1.29E-12,-1.29E-12
85.5,-1.29E-12,-1.29E-12
85.6,-1.29E-12,-1.29E-12
85.7,-1.29E-12,-1.29E-12
85.8,-1.29E-12,-1.29E-12
85.9,-1.29E-12,-1.29E-12
86,-1.29E-12,-1.29E-12
86.1,-1.29E-12,-1.29E-12
86.2,-1.29E-12,-1.29E-12
86.3,-1.29E-12,-1.29E-12
86.4,-1.29E-12,-1.29E-12
86.5,-1.29E-12,-1.29E-12
86.6,-1.29E-12,-1.29E-12
